zipcode,population,area (sq mi),pop_density
19152,33293,2.822,11797.66123
2148,59503,5.045,11794.44995
20003,26454,2.243,11794.02586
19148,49732,4.223,11776.46223
14853,2755,0.234,11773.50427
90303,26176,2.227,11753.92905
92704,88123,7.511,11732.52563
92104,44414,3.787,11728.0169
33145,29758,2.538,11724.9803
95117,30067,2.567,11712.89443
91331,103689,8.853,11712.30091
7047,60773,5.193,11702.86925
44243,5658,0.484,11690.08264
10703,20301,1.747,11620.49227
92843,45214,3.892,11617.16341
71272,1893,0.163,11613.49693
982,16428,1.418,11585.33145
12210,10158,0.879,11556.31399
90723,54099,4.685,11547.27855
2122,23479,2.035,11537.59214
7057,11335,0.983,11531.02747
2131,29826,2.587,11529.18438
43201,35495,3.084,11509.40337
17077,46,0.004,11500
22204,47233,4.12,11464.32039
92844,24307,2.122,11454.75966
22305,15440,1.349,11445.5152
91607,27927,2.44,11445.4918
57197,959,0.084,11416.66667
22311,17560,1.539,11410.0065
75962,3029,0.266,11387.21805
71999,706,0.062,11387.09677
90031,39316,3.453,11386.04112
91401,39285,3.452,11380.35921
81231,715,0.063,11349.20635
90048,21397,1.886,11345.17497
90291,28341,2.499,11340.93637
7505,2256,0.199,11336.68342
60630,54093,4.774,11330.7499
91335,74363,6.565,11327.18964
983,39234,3.464,11326.21247
10304,42193,3.728,11317.86481
10704,30165,2.667,11310.46119
6510,2737,0.242,11309.91736
11414,26148,2.312,11309.68858
91776,38475,3.405,11299.55947
2142,3141,0.278,11298.56115
14201,11549,1.024,11278.32031
1610,23945,2.124,11273.54049
27110,2127,0.189,11253.96825
60304,17231,1.532,11247.38903
90066,55277,4.921,11232.8795
80218,17928,1.598,11219.02378
8105,29077,2.592,11217.9784
58202,1839,0.164,11213.41463
4469,2702,0.241,11211.61826
90089,3217,0.287,11209.05923
1850,15237,1.36,11203.67647
10301,39706,3.548,11191.09357
91020,8415,0.752,11190.15957
11794,3165,0.283,11183.74558
60642,18480,1.653,11179.67332
18101,3897,0.349,11166.18911
92805,70401,6.315,11148.21853
91202,22830,2.05,11136.58537
90278,40071,3.606,11112.31281
10606,16499,1.485,11110.43771
19023,22164,1.997,11098.64797
90015,18986,1.711,11096.43483
90680,29945,2.702,11082.53146
53202,23386,2.112,11072.91667
53210,28126,2.545,11051.47348
60804,84573,7.654,11049.51659
55408,29981,2.719,11026.48032
1063,430,0.039,11025.64103
14222,14046,1.278,10990.61033
55403,14985,1.364,10986.07038
29904,659,0.06,10983.33333
60637,49503,4.529,10930.22742
979,17030,1.563,10895.71337
94127,19289,1.771,10891.58667
91306,45061,4.138,10889.56017
33015,63544,5.841,10878.95908
90023,45903,4.224,10867.1875
6710,10715,0.986,10867.13996
12307,7692,0.708,10864.40678
7204,13297,1.225,10854.69388
90043,44789,4.131,10842.16897
7109,35897,3.311,10841.73966
14213,24465,2.259,10830.01328
7603,8187,0.756,10829.36508
90710,25457,2.354,10814.35854
20020,49864,4.616,10802.42634
94111,3713,0.344,10793.60465
94401,34429,3.19,10792.78997
95111,58466,5.423,10781.11746
60624,38105,3.535,10779.34936
7002,63031,5.848,10778.21477
53215,60953,5.661,10767.17894
90717,21318,1.981,10761.2317
90650,105549,9.81,10759.32722
19127,5913,0.55,10750.90909
90404,21360,1.993,10717.51129
7102,12579,1.174,10714.65077
33010,46187,4.316,10701.34384
10470,15293,1.43,10694.40559
99775,1251,0.117,10692.30769
10805,18414,1.724,10680.97448
60302,32108,3.011,10663.56692
8611,28038,2.631,10656.78449
92113,56066,5.266,10646.79073
98105,43924,4.128,10640.50388
2130,35401,3.334,10618.17636
94015,60927,5.745,10605.22193
60619,63825,6.021,10600.3986
90292,21576,2.036,10597.24951
19123,13416,1.268,10580.44164
20742,7808,0.74,10551.35135
7644,24136,2.289,10544.34251
29208,695,0.066,10530.30303
33174,32524,3.095,10508.5622
18068,42,0.004,10500
53206,28210,2.687,10498.69743
10305,41749,3.979,10492.33476
60606,2308,0.22,10490.90909
60636,40916,3.912,10459.1002
53726,5177,0.495,10458.58586
60634,74298,7.113,10445.3817
60607,23897,2.289,10439.9301
7305,60104,5.775,10407.61905
92840,54083,5.202,10396.57824
98109,20715,1.994,10388.666
33016,45342,4.385,10340.25086
8861,53099,5.144,10322.51166
91605,56343,5.464,10311.67643
92706,36457,3.537,10307.32259
11580,40113,3.9,10285.38462
90405,27186,2.646,10274.37642
90047,48606,4.731,10273.93786
