month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,id,zip_code
202102,94606,"oakland, ca",1717,4553,340,-4124,59.066052,74.89941799148471,43.232686223194406,38.5,-0.41666666666666663,-27.5,2.5,27.5,-25,-0.038775510204081653,0.3113689095127612,0.9203,640000,-0.0844062947067239,-0.022900763358778664,1.8404,1,57,94606
202102,94621,"oakland, ca",4713,4592,435,-4214,58.859029,87.09034803327995,30.627709855083786,26,-0.5094339622641509,-27,0.4444444444444444,8,-37.5,-0.032532991202345984,-0.07915854637166098,0.7134,498500,0.10777777777777775,0.007070707070707005,1.4335,1,66,94621
202102,95135,"san jose, ca",6073,3333,2262,602,65.700559,88.25827116128276,43.142845982578805,24.5,-0.5625,-31.5,-0.5377358490566038,-28.5,-39,0.3222780872140163,1.307266006769206,0.9185,698400,0.004892086330935186,0.03466666666666662,2.0083,0,30,95135
202102,94618,"oakland, ca",6117,1551,24,-1460,77.543846,95.09784774032263,59.989844146713025,13,-0.5185185185185186,-14,0.4444444444444444,4,-50.5,0.14339460389121794,0.21973771995663416,1.2372,1299500,0.18675799086757983,-0.18526645768025074,3.7369,1,64,94618
202102,94086,"sunnyvale, ca",635,6108,449,-4311,50.718722,92.66825514628336,8.769188703566266,17.5,-0.5930232558139534,-25.5,0.09375,1.5,-46,-0.04627041637911189,-0.16837420390150937,0.3612,1449000,0.05152394775036284,-0.09153605015673982,4.1668,0,2,94086
202102,95123,"san jose, ca",333,3729,-1011,-3076,63.589313,84.47716886059138,42.701456974336935,29,-0.09375,-3,0.20833333333333326,5,-34.5,0.07187852568180864,0.31969294504691126,0.9122,899888,0.49981583302638843,0.028444603936690127,2.5877,1,18,95123
202101,94605,"oakland, ca",1418,2170,279,-787,72.153475,86.44931422879473,57.857635430235234,38,0.027027027027026973,1,-0.3666666666666667,-22,-33,0.6227122127703149,0.7294838688362866,1.2213,699000,-0.02781641168289295,0.14684167350287125,2.0565,0,56,94605
202101,95116,"san jose, ca",2026,1658,-565,-1443,75.996092,87.97027047735806,64.02191402957628,36,0.04347826086956519,1.5,-0.3271028037383178,-17.5,-35,0.32488935580048617,-0.23006860426480058,1.3556,789000,0.16029411764705892,0.3205020920502093,2.3213,1,11,95116
202101,94601,"oakland, ca",1526,4934,-802,-3745,55.963145,78.469082828902,33.45720634434143,47,0.06818181818181812,3,-0.2295081967213115,-14,-24,0.2839903459372488,0.003752275513615899,0.7889,599000,0,0.08883651728641584,1.7623,0,53,94601
202101,94611,"oakland, ca",894,1399,1535,-647,78.020841,88.61773044211172,67.42395218757183,35,-0.2134831460674157,-9.5,-0.4852941176470589,-33,-36,0.8518151506723133,-0.02563230529650773,1.4403,1095000,-0.025800711743772187,0,3.2215,0,61,94611
202101,94086,"sunnyvale, ca",635,6557,-12,-5910,47.251168,82.37682936173474,12.125507623936862,43,0.04878048780487809,2,0.04878048780487809,2,-28,0.433243281672117,-0.40532922552522055,0.4483,1378000,-0.014306151645207432,0.0053257459692128695,4.0541,0,2,94086
202101,95136,"san jose, ca",1411,2592,-916,-2288,69.117309,85.12374530687303,53.110872730059,40,0.9047619047619047,19,-0.2857142857142857,-16,-31,0.4500800854244529,-0.2388840453356582,1.1216,888000,-0.053160051671017894,-0.05470370070726904,2.6125,0,31,95136
202101,95135,"san jose, ca",6073,5595,829,-3692,52.474906,69.28970960079688,35.66010267412459,56,0.05660377358490565,3,0.04672897196261672,2.5,-15,0.7202309243032075,0.4802765671021223,0.8221,695000,-0.004297994269340966,0.0007199424046075986,2.0447,0,30,95135
202101,95112,"san jose, ca",459,5983,1278,-4609,50.291165,74.5306873036549,26.051643552218223,51,0.030303030303030276,1.5,-0.2153846153846154,-14,-20,1.0020348201941465,-0.1527911450186823,0.674,820000,0.01610904584882289,-0.034725741451289815,2.4125,0,7,95112
202101,94621,"oakland, ca",4713,5027,-174,-4210,55.407632,72.10175465481572,38.71350854340663,53,0.10416666666666674,5,-0.036363636363636376,-2,-18,0.50158249621577,0.05960230861206339,0.8727,450000,-0.052631578947368474,-0.0581380016200026,1.3239,0,66,94621
202101,94596,"walnut creek, ca",4700,2147,3861,-1189,72.297142,78.469082828902,66.12520113401273,47,-0.22314049586776863,-13.5,-0.2713178294573644,-17.5,-24,1.2632713633840917,0.4420269770879526,1.4072,699000,0.14122448979591828,-0.23522975929978118,2.0565,1,41,94596
202101,95128,"san jose, ca",2246,4667,123,-3821,57.340434,81.30794575128343,33.3729216152019,44,0.08641975308641969,3.5,-0.3015873015873016,-19,-27,0.5672188317349609,-0.2081356273520194,0.7873,995000,-0.040038591413410485,-0.1481164383561644,2.9273,1,23,95128
202101,94801,"richmond, ca",4554,1646,294,2525,76.066968,92.49482798253007,59.639108114320734,27,-0.33333333333333337,-13.5,-0.6896551724137931,-60,-44,0.3992917695031657,1.1436274614005626,1.2565,492000,0.007164790174001956,-0.053837056125539684,1.4475,1,67,94801
202101,95125,"san jose, ca",417,3613,769,-2166,63.157996,85.62945368171022,40.686537430081984,39,0.18181818181818188,6,-0.32173913043478264,-18.5,-32,0.8868573092828178,0.3504153377660053,0.9027,1300000,-0.054545454545454564,-0.036679895027749154,3.8247,0,20,95125
202101,94603,"oakland, ca",4769,3018,686,-2549,66.68263,84.49544096237837,48.86981840471994,41,0.12328767123287676,4.5,-0.2038834951456311,-10.5,-30,0.7867224485302213,0.04907526756291736,1.0425,524990,-0.025088207985143884,0.05208416833667329,1.5445,0,55,94603
202101,95127,"san jose, ca",1376,1577,-757,-1476,76.624397,84.49544096237837,68.75335223354531,41,0.24242424242424243,8,-0.0786516853932584,-3.5,-30,0.3329329460761845,-0.10222430100821123,1.4796,829000,0.01097560975609757,-0.07218802462227192,2.439,0,22,95127
202101,95126,"san jose, ca",1777,5696,-161,-5148,51.961536,84.49544096237837,19.427630066661557,41,0.05128205128205132,2,-0.05747126436781613,-2.5,-30,0.3950149813967274,-0.30713241602447494,0.567,1099000,0.14844755805982368,0.16419491525423724,3.2333,0,21,95126
202101,95132,"san jose, ca",3052,3588,-1342,-3321,63.272929,73.23576737414757,53.31009118075243,52,0.5757575757575757,19,0.1954022988505748,8.5,-19,0.5126811594202898,0.09388646288209612,1.1264,1095000,0.1253854059609456,-0.003186162949476601,3.2215,0,27,95132
202101,95110,"san jose, ca",6896,8295,915,-7552,37.644625,57.12205961229024,18.16719025362041,67,0.07200000000000006,4.5,1.161290322580645,36,-4,1.4169194402024976,-0.19171152649660506,0.5484,749888,-0.05970097786895168,-0.00014933333333333465,2.2062,1,5,95110
202101,94602,"oakland, ca",2916,2567,-647,-2081,69.264807,85.12374530687303,53.405869282047355,40,0.29032258064516125,9,-0.32773109243697474,-19.5,-31,0.4396370516962551,-0.1221424437992028,1.1277,899000,0,0.19882651020136022,2.6449,0,54,94602
